Fitness,Violaciones
497.4285605945353,4.656612873077393e-10
637.3722880313983,0.0
236.38767359101107,0.0
464.90480612467184,0.0
661.7155298661006,2.6403245101391803e-07
444.34846520617464,0.0
340.447205821818,0.0
325.9922915234776,0.0
219.26325464870908,0.0
650.9915600935949,0.0
248.09212944651497,0.0
720.221001485341,2.3283064365386963e-10
243.80136285770902,0.0
440.26838482277077,0.0
525.8808366850542,0.0
500.80896626487106,0.0
474.03077487345604,0.0
605.3283079844917,1.136982064053882e-09
389.1814866747229,0.0
788.9982388528283,0.0
232.32804047709945,0.0
287.45043986380506,0.0
275.77247083513316,0.0
413.91100340684056,1.3970975487609394e-09
526.612920037497,0.0
