Fitness,Violaciones
373.0283553416147,30183.963374179475
460.76434959900075,38367.285758203056
285.20166522907925,111233.03298506701
472.58004946941344,12141.56019235407
455.1224608221491,29726.04562355516
472.08276697918154,56127.540560976486
389.9977893856082,25914.49779388335
363.6191962079871,35876.97658571908
509.19652537069567,36904.946687624055
379.5651295822068,53302.92762051274
320.1091480139876,119221.66972926658
396.0185179318509,51875.8284901168
344.81296703529574,33305.22147354163
410.1244611620766,42778.14290622524
405.74888122383544,23494.198266706353
607.4166190456283,41564.51252255254
518.1820211229706,85153.1382999806
443.1453933373751,17403.311574943757
534.4139723343575,68386.81892292276
307.4373648945723,15858.618296897517
282.5709048218712,25280.85217997996
570.8732184624885,35594.14730725549
413.6643308879932,48986.089836078725
553.0540164417134,54540.06105691756
315.8563640156999,36125.91053092731
