Fitness,Violaciones
414.9900436569935,914200.9723433835
267.2327754556296,1314654.683320219
411.5321295676711,688925.230512834
432.30542387498053,1072543.3258129538
374.1097902597885,1253587.656110861
834.7170601054398,1014356.6329477878
364.66615686944647,757993.9314122524
618.3474402532687,1274307.129750796
524.9567646024468,818852.1278693903
300.71725436140855,913473.8663610445
354.81347303515145,991714.6404846464
508.2383943138643,514992.63299983664
725.0006496201515,1160191.2763200728
529.4052446808163,960765.395746163
394.62637399175367,906104.2764606135
733.2396061620541,762332.1552292837
563.9674486895792,1021167.34291499
494.76655628801717,1117567.3946471894
344.76250592664195,1140500.2105135755
520.6425896048677,893868.9399223335
407.76772157692153,820648.729400795
710.3194662291994,932700.7630666249
829.2672486992226,936181.5472112832
321.15185672021755,701644.1863127908
865.0594301745573,897363.6557726588
