Fitness,Violaciones
597.36935011946,0.0
697.9165476948007,0.0
327.03986971828897,1.2340365174168255e-08
661.6549638455168,0.0
697.2799605248067,0.0
579.0765496338527,0.0
707.1961817400952,0.0
223.29360494102832,2.0955894797225483e-09
235.62793616300291,0.0
349.3753969930766,0.0
273.50559625318783,0.0
301.6154661484366,0.0
706.3976566463512,1.39699523060699e-08
449.97279100814626,0.0
286.36268029177495,0.0
290.8220555304315,0.0
320.1745187516522,0.0
367.4268808117654,0.0
298.46077012680416,0.0
572.4460770194461,0.0
456.96424078010796,0.0
249.1450962877286,4.8502784011361655e-09
260.0455605506765,1.6026433513616212e-09
644.4258037202535,2.3283064365386963e-10
643.8135819117986,0.0
