Fitness,Violaciones
310.1871136606366,0.0
208.82377621098385,0.0
682.4614403419162,0.0
623.775495953863,0.0
519.7524023777952,0.0
506.4883490926065,0.0
245.173687399407,0.0
282.3220538663703,0.0
264.7662927687448,2.499234865895623e-09
450.7568319565747,0.0
708.8738030376265,9.313225746154785e-10
604.4625316050913,0.0
706.7181129846595,0.0
383.4113481719588,4.656612873077393e-10
408.85231883226226,2.3283064365386963e-10
511.9760871134293,3.7493919080588967e-10
266.4109991094605,0.0
735.4906802611757,0.0
340.60768783504807,0.0
689.98475870898,6.984919309616089e-10
342.8685958309332,0.0
526.8595731707458,0.0
453.38200448112593,0.0
248.83966384499033,0.0
487.0709263096052,0.0
