Fitness,Violaciones
284.3389318969031,1077245.566908251
627.5096297127674,748833.1915051073
598.4355639364076,891389.572658719
912.7299981955352,396942.18023117236
349.04754612634395,1067610.143560225
445.6672649491902,1192141.3674198573
406.1328231419534,825988.2139431641
443.2076196589435,883100.001613869
597.8368956995666,595995.3996583293
858.2023837114548,1263500.0956300204
285.5041189472044,797608.4846742755
389.1660541567192,428619.8117789412
617.6854981152652,921864.2604047525
840.0655676826597,903119.0711976904
348.93117234430474,1159760.8642876917
713.8831803438298,959357.832610918
480.06162998689445,1016684.8257644149
475.6216020633385,1299694.595525365
858.3280534560164,1063200.7423627803
351.283680736977,1136125.112708821
312.85292267234126,1114929.5422742744
457.92909016685905,878680.330843605
350.5159237053789,836386.9511131376
363.42474562043134,909278.0801316753
377.8514604219929,1010416.6540672383
