Fitness,Violaciones
422.026077112494,0.0
745.869866530473,0.0
446.84454384067465,0.0
273.04250874790705,0.0
257.6821912628632,1.4210854715202004e-10
617.9116825376636,0.0
371.224796610473,2.5612507670302875e-09
262.9602720356011,0.0
305.5964908193263,1.976400199055206e-08
237.8371413805102,0.0
682.2381084610573,0.0
542.9665363392188,0.0
270.88187375885605,4.6444964687606676e-09
217.7967460617044,0.0
447.831135566935,5.960854932661312e-08
257.9366906908709,0.0
383.7138323867978,4.656612873077393e-10
369.046360464229,0.0
421.8717462170809,0.0
633.613040697527,6.349174236742175e-10
388.64065653895744,0.0
316.53163839179103,0.0
541.6474727038496,0.0
579.1611937154428,0.0
332.18929525087015,0.0
