Fitness,Violaciones
299.0840387631706,0.0
603.0088551833167,0.0
224.5447658246917,0.0
613.3374379763101,0.0
322.27374795286505,0.0
347.4327035115374,0.0
245.7047839163295,2.0954757928848267e-09
491.7113070542377,2.0954757928848267e-09
433.16411915338597,0.0
580.9469890587845,0.0
229.76498741914924,0.0
220.63435944231063,0.0
621.9999453827974,0.0
681.2729873395418,0.0
287.55659838982194,0.0
268.80047093385775,0.0
691.0104687498801,1.8354739950154908e-09
490.84668862208775,0.0
430.9112657088429,0.0
477.8325621924834,0.0
701.642391931016,0.0
350.9853797874484,0.0
630.589991591407,0.0
296.845272625093,0.0
290.7779355178788,0.0
