Fitness,Violaciones
534.79814447966,0.0
305.66019413623695,0.0
686.6911991971089,0.0
298.7908283240607,0.0
774.5211696049673,0.0
277.23672419032016,0.0
358.25704007875885,0.0
642.0350229476905,0.0
665.0186716759845,0.0
529.0165448661943,0.0
286.27198543862573,0.0
598.5968412773548,0.0
428.4235772282147,0.0
278.1235003206636,0.0
278.7603627814076,0.0
301.8424510241515,0.0
278.69187083336493,2.3283064365386963e-10
530.4323442197049,0.0
683.9014698380596,0.0
422.8385616405881,1.862645149230957e-09
740.4066033481955,0.0
269.6844352775267,0.0
385.8293091134149,0.0
313.1018553817522,0.0
667.727204023671,0.0
