Fitness,Violaciones
464.1424260867206,21.769567338383887
271.94188089669774,10.867086316440066
455.4359357914513,36.98797162106774
364.3246483878964,6.6579631874021175
425.216740989003,44.45510779827627
375.0195421383395,20.427771095454055
345.96262077480577,67.53188744711443
305.4246693061994,22.18176172482155
369.2724977448846,8.516273250313333
328.2043959723085,119.45546532512114
313.92054025425375,10.0604418855731
594.2297482821076,30.645124784581625
419.77783741733543,10.015290690228206
402.63016976194285,28.714526132174
481.66920994807487,16.655254211026104
465.68689088434206,74.01945213892715
453.4782840488874,10.277055066960983
457.8424357571752,15.461250452161813
395.84065932096803,15.982399643246858
467.3299411938893,34.18074092575003
395.1540112056393,38.42209418634624
489.0946680348876,13.237314694422238
434.07329500734966,23.575301895760873
442.1885170701263,11.83531123968232
316.5439581786154,71.48380481470792
